circuit,model,p,regime,method,ideal,mu,sd,ci_lo,ci_hi,err,err_noisy,impr
bell,combined,0.018,mid,richardson,1.0,0.9570312499999997,0.07842715008907189,0.9166601562499993,0.9962239583333331,0.04296875000000033,0.09296875000000004,0.5378151260504168
bell,combined,0.018,mid,linear,1.0,0.9085937500000004,0.01236362236507199,0.9027766927083339,0.9146278211805561,0.09140624999999958,0.09296875000000004,0.01680672268908064
bell,combined,0.024,mid,richardson,1.0,0.9489583333333325,0.0683346929647515,0.9105371093749989,0.9826822916666662,0.05104166666666754,0.1020833333333333,0.4999999999999913
bell,combined,0.024,mid,linear,1.0,0.9279513888888893,0.01663861209424747,0.919920789930556,0.9364181857638892,0.07204861111111072,0.1020833333333333,0.2942176870748336
bell,combined,0.03,mid,richardson,1.0,0.9429687499999996,0.07785500219759492,0.9055891927083328,0.9864648437499997,0.05703125000000042,0.09661458333333328,0.409703504043122
bell,combined,0.03,mid,linear,1.0,0.9222222222222226,0.018904687594864338,0.912803819444445,0.931988932291667,0.07777777777777739,0.09661458333333328,0.19496855345912306
bell,combined,0.036,mid,richardson,1.0,0.9414062499999996,0.10191495334269574,0.8903645833333325,0.9938834635416666,0.058593750000000444,0.11106770833333335,0.4724501758499375
bell,combined,0.036,mid,linear,1.0,0.9245659722222226,0.02603175447931272,0.9119346788194447,0.9377615017361113,0.07543402777777741,0.11106770833333335,0.32082844861274273
bell,combined,0.042,mid,richardson,1.0,0.9640624999999993,0.15594990713417042,0.8783756510416658,1.040501302083333,0.03593750000000073,0.11250000000000004,0.6805555555555491
bell,combined,0.042,mid,linear,1.0,0.923914930555556,0.021995661075400876,0.9127571614583335,0.9342881944444448,0.07608506944444404,0.11250000000000004,0.3236882716049421
bell,combined,0.048,mid,richardson,1.0,0.8432291666666657,0.1157693414459841,0.7919238281249993,0.9046907552083326,0.1567708333333343,0.1235677083333333,-0.2687038988408933
bell,combined,0.048,mid,linear,1.0,0.9089843750000006,0.022262959757636418,0.8974381510416671,0.9202256944444448,0.09101562499999938,0.1235677083333333,0.2634351949420491
bell,combined,0.06,high,richardson,1.0,0.8639322916666657,0.17647384773518693,0.774999999999999,0.9553450520833324,0.13606770833333426,0.13802083333333337,0.014150943396219976
bell,combined,0.06,high,linear,1.0,0.9332031250000004,0.0198082213293823,0.9233930121527784,0.943534071180556,0.06679687499999964,0.13802083333333337,0.5160377358490593
bell,combined,0.075,high,richardson,1.0,0.9434895833333329,0.21103208077624996,0.8335807291666659,1.048567708333333,0.05651041666666712,0.14739583333333328,0.6166077738515869
